ISBN;TITOLO;ANNO PUBBLICAZIONE;DATA AGGIUNTA;GENERE;TIPO;AUTORE/I;EDITORE;COLLANA;LINGUA;NUMERO COPIE;PREZZO;SCAFFALE;RIPIANO;
N/D;La teoria dell’informazione;1983;N/D;Politica;saggio;Pierce;Biblioteca della EST;N/D;italiano;1;30000 lire;3;6;
N/D;La società civile;1979;N/D;Politica;saggio;Piscopo,D’Elia;Ferraro;N/D;italiano;1;6500 lire;3;6;
888604237X;Poeti africani anti – apartheid;2002;2004;Politica;N/D;aavv;Edizioni dell’arco;N/D;italiano;1;€ 6,90;3;6;
N/D;Un anno di attività contro la discriminazione razziale;2008;N/D;Politica;Rapporto;aavv;UNAR;N/D;italiano;1;N/D;3;6;
N/D;Il quaderno della Costituzione;N/D;N/D;Politica;N/D;aavv;osservatorio permanente;N/D;italiano;1;N/D;3;6;
N/D;La rivista;2008;N/D;Politica;Rivista;aavv;N/D;N/D;italiano;1;N/D;3;6;
N/D;Giuda dell’utente;2005;N/D;Politica;Guida;aavv;Commissione Europea;N/D;italiano;1;N/D;3;6;
N/D;Statuto dei diritti dei lavoratori;1978;N/D;Politica;N/D;aavv;Buffetti editore;Collezione normativa;italiano;1;2500 lire;3;6;
9788876706516;Libera formazione;2007;N/D;Politica;N/D;aavv;EGA editore;N/D;italiano;1;€ 8,00;3;6;
N/D;Carta dei diritti fondamentali dell’Unione Europea;N/D;N/D;Politica;N/D;aavv;Istituto poligrafico e zecca dello Stato;N/D;italiano;1;N/D;3;6;
N/D;;N/D;N/D;N/D;N/D;aavv;N/D;N/D;;1;€ 17,50;3;6;
8888249117;Scienza e società ;2006;N/D;Politica;saggio;Alferov;Sandro Teti editore;N/D;italiano;1;N/D;3;6;
N/D;;N/D;N/D;N/D;N/D;aavv;N/D;N/D;;;N/D;3;;
N/D;Che cos’è la psicologia;1982;N/D;psicologia e pedagogia;saggio;Daco;Rizzoli;N/D;italiano;1;5000 lire;3;2;
N/D;Cos’è la psicologia;1989;N/D;psicologia e pedagogia;saggio;Piaget;Newton ;N/D;italiano;1;3900 lire;3;2;
8806126717;la chiesa cattolica e la secolarizzazione;1993;N/D;storia e filosofia;saggio;menozzi daniele;einaudi;piccola biblioteca einaudi;italiano;1;24000 lire;3;8;
N/D;la formazione dello stato odierno;1982;N/D;storia e filosofia;saggio;caracciolo alberto;zanichelli;letture storiche;italiano;1;5000 lire;3;8;
N/D;utopia e riforma dell'illuminismo;1970;N/D;storia e filosofia;saggio;venturi franco;einaudi;piccola biblioteca einaudi;italiano;1;2000 lire;3;8;
8806129503;la civiltà azteca;1992;N/D;storia e filosofia;saggio;vaillant george;einaudi;einaudi tascabili;italiano;1;14000 lire;3;8;
8828601612;vita nel medioevo;2001;N/D;storia e filosofia;saggio;power;einaud scuola;i linri da leggere;italiano;1;20200 lire;3;8;
8835060060;la psicoanalisi;1976;N/D;psicologia e pedagogia;saggio;ancona leonardo;la scuola;N/D;italiano;1;25000 lire;3;8;
8842070300;martin lutero;2003;N/D;storia e filosofia;saggio;febvre;laterza;economica laterza;italiano;1; € 8,00 ;3;8;
N/D;l'invincibile armada;1984;N/D;storia e filosofia;saggio;howarth;mondadori;le scie;italiano;1;N/D;3;8;
8806130749;parigi, il mito di una capitale;1991;N/D;storia e filosofia;saggio;bergeron;einaudi;piccola biblioteca einaudi;italiano;1;14000 lire;3;8;
N/D;proletari senza rivoluzione IV;1975;N/D;storia e filosofia;saggio;del carria renzo;savelli;cultura politica;italiano;1;3000 lire;3;8;
N/D;l'evoluzione economica del mondo occidentale;1976;N/D;storia e filosofia;saggio;north douglass, thomas robert paul;mondadori;oscar studio;italiano;1;14000 lire;3;8;
N/D;il sud nella storia d'italia II;1975;N/D;storia e filosofia;saggio;villari rosario;laterza;universale laterza;italiano;1;5000 lire;3;8;
880435271x;la straordinaria storia della vita sulla Terra;1992;N/D;storia e filosofia;saggio;angela piero, alberto;mondadori;N/D;italiano;1;N/D;3;8;
N/D;la fabbrica del consenso;1975;N/D;storia e filosofia;saggio;cannistraro;laterza;tempi nuovi laterza;italiano;1;3700 lire;3;8;
8806130390;chiesa e nazismo;1993;N/D;storia e filosofia;saggio;klee ernest;einaudi;einaudi contemporamea;italiano;1;18000 lire;3;8;
8800453929;filosofia II;1992;N/D;storia e filosofia;raccolta;moravia sergio;lemonnier;N/D;italiano;1;23,10 euro;3;8;
8809500164;la riforma della scuola nell'unione sovietica;1987;N/D;storia e filosofia;saggio;de lucia michele;giunti & lisciani;educazione nuova;italiano;1;10000 lire;3;8;
N/D;la politica economica e finanziaria;1982;N/D;attualità;saggio;pellingra giuseppe;multigrafica editrice;N/D;italiano;1;9000 lire;3;1;
N/D;breve storia degli stati uniti;1965;N/D;storia e filosofia;saggio;aa vv;united states information service;N/D;italiano;1;N/D;3;8;
N/D;carlo afan de rivera e il corpo dei ponti e strade;1993;N/D;storia e filosofia;saggio;di biasio aldo;amministrazione provincia latina;N/D;italiano;1;N/D;3;8;
N/D;il tempo di giulio cesare;1967;N/D;storia e filosofia;saggio;plutarco;de agostini;i classici di tutti i paesi;italiano;1;2800 lire;3;8;
N/D;5 anni di storia italiana ;1964;N/D;storia e filosofia;saggio;ceva bianca;edizioni di comunità;saggi di cultura contemporanea;italiano;1;2000 lire;3;8;
N/D;la mia vita per la libertà;1988;N/D;storia e filosofia;autobiografia;gandhi;newton;grandi tascabili economici ;italiano;1;3900 lire;3;8;
N/D;uscireo dal tunnel?;1975;N/D;attualità;saggio;amato angelo;edizioni parallelo 38;N/D;italiano;1;2500 lire;3;1;
N/D;giolitti e i cattolici;1974;N/D;storia e filosofia;saggio;spadolini giovanni;mondadori;oscar studio;italiano;1;2400 lire;3;8;
8806127594;gli slavi;1991;N/D;storia e filosofia;saggio;conte francis;einaudi;einaudi tascabili;italiano;1;17500 lire;3;8;
N/D;la stregoneria;1984;N/D;storia e filosofia;saggio;abbiati. Agnoletto, lazzati;mondadori;studio;italiano;1;15000 lire;3;8;
N/D;le origini del fascismo;1982;N/D;storia e filosofia;saggio;bartolotti mirella;zanichelli;letture storiche;italiano;1;5000 lire;3;8;
N/D;roma e l'eredità di alessandro;1971;N/D;storia e filosofia;saggio;lanza michele;edizoni di comunità;saggi di cultura contemporanea;italiano;1;3000 lire;3;8;
N/D;da monaco a norimberga;1965;N/D;storia e filosofia;saggio;tranfaglia nicola;edizioni di comunità;universale contemporanea;italiano;1;1300 lire;3;8;
N/D;intervista sul fascismo;1975;N/D;storia e filosofia;saggio;de felice;laterza;saggi tascabili laterza;italiano;1;2000 lire;3;8;
N/D;fine del popolo ebraico? ;1968;N/D;storia e filosofia;saggio;friedmann georges;edizioni di comunuità;sagg di cultura contemporanea;italiano;1;2600 lire;3;8;
N/D;guerra e rivoluzione;1973;N/D;storia e filosofia;saggio;trotskij lev;mondadori;oscar;italiano;1;900 lire;3;8;
8876922709;discorso sul metodo;1991;N/D;storia e filosofia;saggio;cartesio;edizioni studio tesi;N/D;italiano;1;15000 lire;3;8;
N/D;israele tra le nazuioni;1973;N/D;storia e filosofia;saggio;talmon;edizioni di comunità;saggi di cultura contemporanea;italiano;1;3000 lire;3;8;
8826302286;la crisi dei fondamenti;1984;N/D;storia e filosofia;saggio;todisco orlando;borla;N/D;italiano;1;20000 lire;3;8;
N/D;la rivoluzione francese;1982;N/D;storia e filosofia;saggio;guerci luciano;zanichelli;letture storiche;italiano;1;4000 lire;3;8;
8800330533;diecimila anni fa;1983;N/D;storia e filosofia;saggio;zeldi aldo;lemonierr;salani narrativa;italiano;1;5500 lire;3;8;
N/D;la socialdemocrazia tedesca;1970;N/D;storia e filosofia;saggio;russel bertrand;newton;paperbacks saggi;italiano;1;1000 lire;3;8;
N/D;illuminismo e riforme;1976;N/D;storia e filosofia;saggio;scalia gianni;zanichelli;letture storiche;italiano;1;2200 lire;3;8;
N/D;ho sconfitto hitler;2011;N/D;storia e filosofia;raccolta di memorie;salmoni rubino romeo;provincia di roma;N/D;italiano;1;N/D;3;8;
N/D;nettuno, nell'inferno dello sbarco;2014;N/D;storia e filosofia;storia fotografica fumetti;casaldi silvano;N/D;N/D;italiano;1;N/D;3;8;
9788890893010;Cori la città come museo;2013;N/D;territorio;rivista;Domenico Palombi;teameia Cultura;N/D;italiano;1;N/D;3;7;
9788889999813;lotta senza quartiere;2012;N/D;territorio;saggio;giorgio ceci ;raimonda ottaviani;henry durant e croce rossa diretta da paolo vanni ;italiano;1;N/D;3;7;
N/D;Basilicata itenerari nei Paesaggi d'autore;2013;N/D;territorio;Rivista;maria padula;collezione leone;basilicata in tasca -guida turistica;italiano;1;N/D;3;7;
N/D;Giovanni Falcone e Paolo Borsellino le Loro idee...;2012;N/D;territorio;saggio ;Associazione Cornelia;POLIGRAF SRL;COMUNE DI APRILIA;italiano;4;N/D;3;7;
N/D;Frammenti di Aprilia sparita quando io…;2013;N/D;territorio;saggio;Pietro Nencini ;Tipografia Di Lelio;N/D;italiano;1;N/D;3;7;
8889444002;Guida ai sienteri del Parco Regionale dei Monti Simbruini;2004;N/D;territorio;saggio ;Beatrice Sanfilippo;Tipografia Fabreschi;N/D;italiano;1;N/D;3;7;
N/D;Monti Simbruini ;2003;N/D;territorio;saggio;Fabrizio Lollobrigida;Tipografia Fabreschi;N/D;italiano;1;N/D;3;7;
N/D;Storia Di una grande scoperta archeologica ….;2008;N/D;territorio;saggio;Piergiacomo Sottoriva;Graficart;N/D;italiano;2;N/D;3;7;
8870970124;La religione Museo della civiltà romana….;1990;N/D;territorio;saggio;Paola Chini; Edizioni Quasar;N/D;italiano;1;N/D;3;7;
9788889672327;L'Aquila disubbidiente - storia di Alfredo Fusco…;2006;N/D;territorio;raccolta;Anna Fusco di Ravello;Herald editore;N/D;italiano;1;N/D;3;7;
N/D;Formia;2006;N/D;territorio;raccolta;G. De Filippis - S. Ciccone;G. De Filippis;N/D;italiano;1;N/D;3;7;
N/D;Personaggi illustri e sconosciuti della storia di Priverno;2005;N/D;territorio;saggio;Edomndo Angelini;Grafica Bianconi;N/D;italiano;1;N/D;3;7;
N/D;Architettura - Città Pontine;2006;N/D;territorio;raccolta;N/D;polis Expresse;N/D;italiano;1;N/D;3;7;
N/D;Il Fronte a Cisterna;2013;N/D;territorio;raccolta di memorie;Stefano Solferini;Tipografia Litografia Monti;N/D;italiano;2;N/D;3;7;
N/D;L’ora della scelta;1961;N/D;psicologia e pedagogia;saggio;Kissinger;Edizioni di comunità;Saggi di cultura contemporanea;italiano;1;3000 lire;3;2;
N/D;La mente umana;1971;N/D;psicologia e pedagogia;N/D;Goldenson;Zanichelli;N/D;italiano;1;2000 lire;3;2;
9788817051699;Dalla parte giusta;2011;N/D;psicologia e pedagogia;saggio;Hessel;Bur Rizzoli;N/D;italiano;1;€ 15,00;3;2;
8806125656;La morte della famiglia;1971;N/D;psicologia e pedagogia;N/D;Cooper;Einaudi;N/D;italiano;1;18000 lire;3;2;
8824452280;Psicologia dello sviluppo ed educazione;1999;N/D;psicologia e pedagogia;saggio;Coppola;Edizioni Simone;N/D;italiano;1;€ 12,91;3;2;
8806123130;Anatomia dell’amore;1992;N/D;psicologia e pedagogia;N/D;Bergmann;Einaudi;N/D;italiano;1;26000 lire;3;2;
N/D;Le vestali della classe media;1969;N/D;psicologia e pedagogia;N/D;Barbagli,Dei;Società editrice Il Mulino Bologna;N/D;italiano;1;5000 lire;3;2;
N/D;Attività e tecniche educative nel tempo pieno;1978;N/D;psicologia e pedagogia;saggio;Migliotti;Società editrice internazionale;Collana di orientamenti pedagogici;italiano;1;8500 lire;3;2;
9788811740803;Meritocrazia;2008;N/D;psicologia e pedagogia;N/D;Abravanel;Garzanti;N/D;italiano;1;€ 16,50;3;2;
97888087171864;Il corpo delle donne;2010;N/D;psicologia e pedagogia;N/D;Zanardo;Feltrinelli;N/D;italiano;1;N/D;3;2;
8808099164;Itenerari pedagogici;1993;N/D;psicologia e pedagogia;N/D;Tassi;Zanichelli;N/D;italiano;1;€ 18,59;3;2;
N/D;Le nozioni di movimento e velocità nel bambino;1975;N/D;psicologia e pedagogia;saggio;Piaget;Newton Compton Editori;N/D;italiano;1;2000 lire;3;2;
N/D;Logica e psicologia;1969;1971;psicologia e pedagogia;saggio;Piaget;La nuova Italia editrice;Biblioteca di cultura;italiano;1;1000 lire;3;2;
N/D;Il linguaggio scientifico tra scienza e didattica;1982;N/D;psicologia e pedagogia;saggio;Milani,Comparetti,Mattei;La scuola;N/D;italiano;1;6000 lire;3;2;
8806179802;Credere e curare ;2005;N/D;psicologia e pedagogia;saggio;Marino;Einaudi;N/D;italiano;1;€ 8,00;3;2;
N/D;Psicologia;1965;N/D;psicologia e pedagogia;saggio;Marzi;Sansoni;N/D;italiano;1;1000 lire;3;2;
N/D;Scuola in carcere;1974;N/D;psicologia e pedagogia;saggio;Malvezzi;Feltrinelli;N/D;italiano;1;1400 lire;3;2;
N/D;Che cos’è la psicologia;1982;N/D;psicologia e pedagogia;saggio;Daco;Rizzoli;N/D;italiano;1;5000 lire;3;2;
N/D;Cos’è la psicologia;1989;N/D;psicologia e pedagogia;saggio;Piaget;Newton ;N/D;italiano;1;3900 lire;3;2;
N/D;Censimento del patrimonio vegetale del Lazio;1966;N/D;Aprilia;saggio;aavv;Tipar Poligrafica editrice;ambienti di particolare interesse naturalistico del Lazio;italiano;1;N/D;3;4;
N/D;Signora maestra;N/D;N/D;Aprilia;Rivista;Marchini ;Comune di Aprilia;N/D;italiano;3;N/D;3;4;
N/D;Conferenza “donne e resistenza”;2016;N/D;Aprilia;Rivista;Romoli;N/D;N/D;italiano;10;N/D;3;4;
N/D;Statistiche sociali;1988;N/D;Aprilia;saggio;aavv;Edizioni comunità;Aprilia il borgo e la città;italiano;1;N/D;3;4;
N/D;Le opinioni e i comportamenti religiosi;1991;N/D;Aprilia;saggio;aavv;Edizioni comunità;Aprilia il borgo e la città;italiano;1;N/D;3;4;
8890176717;Dizionario corese – italiano;2006;N/D;Aprilia;Dizionario;Vitelli;Moderata Durant;N/D;italiano;1;€ 30,00;3;4;
9788889672501;Agente speciale – eroe senza medaglia;2007;N/D;Aprilia;saggio;Lisetti;Herald editore;N/D;italiano;1;€ 15,00;3;4;
N/D;Gli anni della ricostruzioone nel Sud pontino;2004;N/D;Aprilia;saggio;Casale;Elsa di Mambro editore;N/D;italiano;1;€ 10,00;3;4;
8860600421;I butteri di Cisterna e dell’agro pontino;2006;N/D;Aprilia;saggio;Nasi;Palombi editori;N/D;italiano;1;€ 12,00;3;4;
N/D;Il colonnello Michele Pezza(frà diavolo);2005;N/D;Aprilia;N/D;Pecchia;Arti grafiche Kolbe – Fondi;N/D;italiano;1;N/D;3;4;
88896721100;Taccuino di guerra;2005;N/D;Aprilia;saggio;Ruggiero;Herald editore;N/D;italiano;1;€ 10,00;3;4;
N/D;Il “Santo” dal cappello piumato;N/D;N/D;Aprilia;N/D;Lisetti;N/D;Frammenti ;italiano;1;N/D;3;4;
N/D;Nel nome della libertà;2007;N/D;Aprilia;saggio;Roccia;Edi.Pa.R.;N/D;italiano;1;N/D;3;4;
N/D;Diario di guerra;2011;N/D;Aprilia;Diario;Ridolfi;Comune di Aprilia;N/D;italiano;3;N/D;3;4;
N/D;Linguaggio e sistemi formali;1974;N/D;Critica letteraria;saggio;De Palma;Einaudi;Einaudi Paperbacks;italiano;1;4800 lire;3;3;
N/D;La considerazione funzionale del linguaggio;1965;N/D;Critica letteraria;saggio;Martinet;Il mulino ;N/D;italiano;1;2000 lire;3;3;
N/D;Storia della tradizione e critica del testo;1952;N/D;Critica letteraria;saggio;Pasquali;Mondadori;N/D;italiano;1;18000 lire;3;3;
N/D;Saggi critici;1961;N/D;Critica letteraria;saggio;Migliore;Editrice M.Ciranna;N/D;italiano;1;5000 lire;3;3;
N/D;Nella Terra dell’airone;2015;N/D;Aprilia;saggio;Perotto;Tipografia Di Lelio;N/D;italiano;3;N/D;3;4;
9788875380443;Menotti Garibaldi;2015;N/D;Aprilia;N/D;Formato;Paolo Sorba editore;N/D;italiano;2;€ 18,00;3;4;
N/D;La costituzione italiana ;2011;N/D;Aprilia;Rivista;aavv;Avis comunale di Aprilia;N/D;italiano;1;N/D;3;4;
N/D;Aprilia raccontami 2;2015/16;N/D;Aprilia;Rivista;aavv;Comune di Aprilia;N/D;italiano;2;N/D;3;4;
N/D;Museo della città e del territorio;N/D;N/D;Aprilia;Rivista;aavv;Comune di Cori;N/D;italiano;1;N/D;3;4;
N/D;I militari italiani internati nei lager nazisti;1977;N/D;Aprilia;N/D;Piasenti;A.N.E.I.;N/D;italiano;1;N/D;3;4;
N/D;30 domande per capire la città;2010;N/D;Aprilia;N/D;aavv;Coordinamento delle libere professioni di Aprilia;N/D;italiano;3;N/D;3;4;
N/D;La cooperazione in provincia di Latina;2001;N/D;Aprilia;N/D;aavv;Edizioni Horus;N/D;italiano;2;N/D;3;4;
N/D;Il ripostiglio di Poggio Berni;1985;N/D;Aprilia;N/D;aavv;Paleani editrice;N/D;italiano;1;N/D;3;4;
N/D;Covignano;1985;N/D;Aprilia;N/D;aavv;Paleani editrice;N/D;italiano;1;N/D;3;4;
8871400054;Terracina – Il museo e le collezioni;1989;N/D;Aprilia;N/D;Coppola,Broccoli;Casa editrice Quasar;N/D;italiano;1;N/D;3;4;
N/D;La battaglia di Aprilia;N/D;N/D;Aprilia;N/D;Bianchi;Associazione culturale Sarasota;N/D;italiano;1;N/D;3;4;
N/D;Manuale di politica economica;1970;1975;Critica letteraria;saggio;Forte;Einaudi;N/D;italiano;1;10000 lire;3;3;
8873800440;Il romanzo sperimentale;1980;N/D;Critica letteraria;Romanzo;Zola;Pratiche editrice;N/D;italiano;1;35000 lire;3;3;
887380070;Il difetto della lingua;1988;N/D;Critica letteraria;saggio;Mannoni;Pratiche editrice;N/D;italiano;1;15000 lire;3;3;
N/D;Introduzione alla semiologia;1973;1976;Critica letteraria;saggio;Martinet;Newton Compton Editori;N/D;italiano;1;1800 lire;3;3;
N/D;I materiali linguistici nella didattica delle lingue;1978;N/D;Critica letteraria;saggio;D’addio Colosimo;Zanichelli;N/D;italiano;1;14000 lire;3;3;
N/D;La semantica. Introduzione alla scienza del significato;1962;N/D;Critica letteraria;saggio;Ullmann;Il mulino ;N/D;italiano;1;6000 lire;3;3;
N/D;Lineamenti di semiologia;1966;N/D;Critica letteraria;saggio;Prieto;Editori Laterza;N/D;italiano;1;3000 lire;3;3;
9788820055868;C’è anche domani;2014;N/D;Politica;saggio;Doris;Sperling, Kupfer ;N/D;italiano;1;€ 16,90;3;6;
N/D;Geopolitica è leggere il mondo per disegnare scenari futuri;2006;N/D;Politica;saggio;Corneli;Fondazione Achille e Giulia Boroli;N/D;italiano;1;N/D;3;6;
N/D;Non lasciamoci rubare il futuro;2006;N/D;Politica;N/D;Ciotti;Società editrice internazionale Torino;N/D;italiano;1;N/D;3;6;
N/D;Le idee al potere ;1980;N/D;Politica;saggio;Berta;Edizioni di comunità;Studi e ricerche di scienze sociali;italiano;1;10000 lire;3;6;
8804556595;Venerati maestri;2006;N/D;Politica;saggio;Berselli;Mondadori;N/D;italiano;1;N/D;3;6;
N/D;Prima le donne e i bambini;1980;N/D;Politica;saggio;Belotti;Rizzoli;N/D;italiano;1;6000 lire;3;6;
9788863940510;Il nuovo fiore;2013;N/D;Politica;saggio;Giovannelli;Maschietto editore;N/D;italiano;1;N/D;3;6;
N/D;Giuseppe Dossetti e la politica estera italiana 1945 – 1951;2005;N/D;Politica;saggio;Giorgi;Scriptorium;N/D;italiano;1;€ 22,00;3;6;
N/D;Trattato di economia politica;1975;1976;Politica;saggio;He;Mazzotta editore;N/D;italiano;1;2500 lire;3;6;
N/D;Ordinamento politico e mutamento sociale;1975;N/D;Politica;saggio;Huntington;Franco Angeli editore;Collana di scienza politica  e relazioni internazionali;italiano;1;12000 lire;3;6;
N/D;Politica come Utopia;1973;N/D;Politica;saggio;La Malfa;Edizioni di comunità;N/D;italiano;1;2000 lire;3;6;
9788890405;Piccolo diario di un Family Banker;2009;N/D;Politica;saggio;Malvestio;Inveneto;N/D;italiano;1;€ 10,00;3;6;
N/D;La teoria dell’informazione;1983;N/D;Politica;saggio;Pierce;Biblioteca della EST;N/D;italiano;1;30000 lire;3;6;
N/D;La società civile;1979;N/D;Politica;saggio;Piscopo,D’Elia;Ferraro;N/D;italiano;1;6500 lire;3;6;
888604237X;Poeti africani anti – apartheid;2002;2004;Politica;N/D;aavv;Edizioni dell’arco;N/D;italiano;1;€ 6,90;3;6;
N/D;Un anno di attività contro la discriminazione razziale;2008;N/D;Politica;Rapporto;aavv;UNAR;N/D;italiano;1;N/D;3;6;
N/D;Il quaderno della Costituzione;N/D;N/D;Politica;N/D;aavv;osservatorio permanente;N/D;italiano;1;N/D;3;6;
N/D;La rivista;2008;N/D;Politica;Rivista;aavv;N/D;N/D;italiano;1;N/D;3;6;
N/D;Giuda dell’utente;2005;N/D;Politica;Guida;aavv;Commissione Europea;N/D;italiano;1;N/D;3;6;
N/D;Statuto dei diritti dei lavoratori;1978;N/D;Politica;N/D;aavv;Buffetti editore;Collezione normativa;italiano;1;2500 lire;3;6;
9788876706516;Libera formazione;2007;N/D;Politica;N/D;aavv;EGA editore;N/D;italiano;1;€ 8,00;3;6;
N/D;Carta dei diritti fondamentali dell’Unione Europea;N/D;N/D;Politica;N/D;aavv;Istituto poligrafico e zecca dello Stato;N/D;italiano;1;N/D;3;6;
9788817047487;Il denaro in testa;2011;N/D;Politica;saggio;Andreoli;Rizzoli;N/D;italiano;1;€ 17,50;3;6;
8888249117;Scienza e società ;2006;N/D;Politica;saggio;Alferov;Sandro Teti editore;N/D;italiano;1;N/D;3;6;
9788849218916;Luigi Moretti e i progetti per Galloro;2010;N/D;Territorio;saggio;De Angelis;Gangemi editore;N/D;italiano;1;N/D;3;7;
N/D;Formia;2005;N/D;Territorio;N/D;De Filippis, Ciccone;Giuseppe De Filippis;N/D;italiano;1;N/D;3;7;
N/D;Città pontine;2006;N/D;Territorio;saggio;aavv;Provincia di Latina;N/D;italiano;1;N/D;3;7;
N/D;Personaggi illustri e sconosciuti della storia di Priverno;2005;N/D;Territorio;saggio;Angelini;Tipografia grafica Bianconi;N/D;italiano;1;N/D;3;7;
9788889672327;L’Aquila disubbidiente;2006;N/D;Territorio;N/D;Fusco di Ravello;Herald editore;N/D;italiano;1;€ 10,00;3;7;
N/D;La cittadella risorta;2006;N/D;Territorio;N/D;Lisetti;Biblioteca comunale di Campodimele;N/D;italiano;1;€ 20,00;3;7;
N/D;Il parco della pace;2009;N/D;Territorio;N/D;De Conciliis;Consiglio regionale del Lazio;N/D;italiano;1;N/D;3;7;
N/D;Terracina  ;2006;N/D;Territorio;N/D;aavv;Comune di Terracina;N/D;italiano;1;N/D;3;7;
8871400224;Museo civico di Rieti;1990;N/D;Territorio;saggio;Reggiani;Casa editrice Quasar;Cataloghi dei musei locali e delle collezioni del Lazio;italiano;1;N/D;3;7;
8871400038;Museo civico di Velletri;1989;N/D;Territorio;saggio;aavv;Casa editrice Quasar;Cataloghi dei musei locali e delle collezioni del Lazio;italiano;1;N/D;3;7;
N/D;Aprilia comunica;2003;N/D;Territorio;Rivista;aavv;Comune di Aprilia;N/D;italiano;2;N/D;3;7;
N/D;Viaggio per immagini attraverso la provincia di Latina;N/D;N/D;Territorio;saggio;aavv;Regione Lazio;N/D;italiano;1;N/D;3;7;
8871400275;Volturnum;1991;N/D;Territorio;saggio;Crimaco;Quasar;N/D;italiano;1;N/D;3;7;
N/D;Pio VI le paludi pontine Terracina;1995;N/D;Territorio;saggio;Rocci ;N/D;N/D;italiano;1;N/D;3;7;
